Associate_id,AssocFirstName,AssocLastName,AssocMiddleInitial,AssocSuffix,AssocDOB,TenureDate
442,Tadio,Trussman,N,Jr,2/6/1969,7/13/2004
443,Jeremy,Talbot,K,IV,9/7/1960,11/2/2002
444,Rosco,Sawle,S,II,3/23/1974,3/27/2001
445,Osbert,Tweedell,G,Jr,7/22/1969,2/20/2002
446,Marion,Levene,L,III,2/2/1969,8/27/2003
447,Jehanna,Oller,A,Jr,8/18/1960,5/23/2003
448,Kit,Pudsey,X,IV,12/28/1967,5/27/2002
449,Wade,Dyett,V,III,2/24/1963,12/2/2002
450,Marya,Amberger,X,Jr,4/15/1972,5/1/2003
451,Monte,Theakston,B,Sr,10/9/1976,1/30/2002
452,Gerty,Kilpatrick,P,III,10/8/1965,12/5/2003
453,Phyllys,Burden,V,III,11/29/1971,3/22/2003
454,Jerad,Gallier,P,Jr,10/2/1962,8/26/2002
455,Guendolen,Quidenham,O,III,9/26/1963,6/11/2001
456,Kacey,Tittletross,U,II,1/16/1969,5/23/2004
457,Leia,Rotherforth,I,II,1/1/1973,12/10/2003
458,Winfield,Cordelle,J,Sr,2/22/1971,11/2/2004
459,Elbertina,Cockley,K,Sr,2/20/1977,6/21/2001
460,Danell,McCartan,I,II,2/28/1971,1/27/2003
461,Ricki,Weatherhead,P,III,2/25/1961,7/2/2004
462,Friedrick,Jury,M,Jr,3/1/1968,7/1/2002
463,Brear,Nerval,Z,IV,6/12/1974,5/6/2004
464,Celestia,Twentyman,X,III,1/27/1969,5/11/2003
465,Cornelle,Iacoboni,U,Jr,1/7/1962,10/10/2004
466,Elysee,Riddett,T,Jr,12/8/1974,2/13/2002
467,Jolie,Copin,J,II,3/5/1961,10/24/2002
468,Gael,Mart,L,Sr,6/14/1960,12/7/2001
469,Christabella,Penhaleurack,Q,IV,2/25/1979,7/16/2003
470,Eleanor,Eallis,Q,IV,8/30/1975,12/29/2001
471,Baxie,Costain,U,II,11/30/1965,5/21/2002
472,Perla,McGeown,S,II,5/27/1972,9/12/2002
473,Fawne,Marler,C,III,8/4/1966,12/20/2004
474,Devlin,Vuitton,B,IV,2/19/1976,2/8/2003
475,Lu,Sillis,F,II,3/23/1961,2/16/2004
476,Loreen,Cairns,R,Jr,10/24/1970,11/23/2000
477,Dedie,Hames,R,III,10/18/1964,1/14/2003
478,Annabella,Ranfield,O,III,8/27/1966,12/4/2003
479,Evelyn,Batcheldor,X,IV,4/17/1978,7/29/2003
480,Annora,Rumbold,R,III,11/15/1970,11/8/2003
481,Howey,Hryniewicz,M,III,1/24/1969,5/19/2004
482,Aundrea,Clarabut,I,Sr,5/30/1969,10/22/2003
483,Darren,Skerratt,F,Sr,3/4/1973,2/24/2000
484,Desirae,Longmead,H,Jr,10/1/1966,6/8/2003
485,Cly,Escritt,X,IV,1/30/1971,6/24/2000
486,Cliff,Aglione,P,II,9/28/1968,1/8/2001
487,Webster,Cordero,G,Sr,8/2/1978,3/9/2001
488,Carolus,Middlehurst,O,Jr,10/20/1978,6/26/2004
489,Rossie,Fritzer,G,II,1/15/1966,2/8/2000
490,Matias,Harkin,Z,III,12/24/1978,11/13/2000
491,Mort,Witson,W,II,4/17/1963,10/5/2003
492,Hoebart,Popov,F,II,4/30/1967,8/2/2001
493,Linus,Brinicombe,A,Jr,2/15/1972,8/1/2001
494,Arleta,MacCafferky,R,Jr,4/25/1970,5/28/2002
495,Shelden,Tegler,B,II,9/11/1969,3/31/2003
496,Geneva,Curedell,R,II,2/12/1964,11/19/2001
497,Brendis,Cheeld,L,Sr,11/23/1969,3/29/2004
498,Dyanna,Sibun,N,III,10/25/1962,12/12/2000
499,Caritta,Kilgallen,E,Jr,3/3/1976,11/27/2001
500,Kristi,Wiltshear,F,II,7/4/1978,1/17/2003
501,Henrik,Down,Q,III,5/18/1960,5/7/2002
502,Robin,Beswick,O,II,5/21/1973,10/7/2002
503,Leslie,Ulster,O,Sr,9/9/1976,4/20/2003
504,Kerr,Hailston,B,Jr,7/26/1965,10/24/2001
505,Janek,Genicke,U,II,4/21/1970,7/31/2004
506,Laney,Dils,I,Jr,4/18/1978,12/11/2000
507,Lottie,Kidstone,R,IV,5/24/1977,3/20/2003
508,Adorne,Widdecombe,G,II,8/17/1964,9/22/2004
509,Sal,Sandiland,I,IV,8/15/1977,9/16/2000
510,Reeta,Heims,K,IV,2/13/1965,4/20/2001
511,Ulrike,Harmston,X,IV,6/9/1977,5/20/2001
512,Gratia,Imlen,O,II,2/20/1962,2/27/2003
513,Sebastien,Truesdale,R,Jr,6/12/1975,2/14/2001
514,Sonnie,Fain,Y,IV,3/26/1975,6/25/2004
515,Egon,Glide,Y,Jr,12/10/1966,5/25/2001
516,Boone,Rockall,L,IV,11/22/1968,1/8/2001
517,Booth,Monkley,G,Sr,3/19/1968,8/20/2004
518,Zacharias,Haszard,N,III,11/27/1971,4/8/2000
519,Lurlene,Blaber,J,Sr,8/11/1977,11/23/2004
520,Mikel,Alvarado,M,Jr,2/11/1960,8/25/2004
521,Willdon,Gaffey,J,II,10/14/1967,7/19/2003
522,Molli,Croson,U,III,7/15/1971,11/6/2004
523,Lucian,Moorman,X,II,8/18/1966,3/25/2001
524,Mal,Huckstepp,S,IV,9/25/1978,3/29/2003
525,Alfonse,Lideard,F,III,6/2/1969,10/5/2004
526,Lazar,Liverock,R,Jr,8/14/1969,2/14/2002
527,Erina,Searight,M,Jr,3/18/1975,1/28/2003
528,Ange,Ollive,Z,IV,10/21/1979,1/12/2001
529,Glenna,Crannage,T,III,6/21/1962,6/30/2000
530,Tressa,Saggs,U,II,7/20/1965,12/7/2001
531,Cherlyn,Whitford,V,Sr,12/13/1968,5/29/2002
532,Faith,Gimert,V,Jr,2/5/1968,3/7/2001
533,Feliks,MacAlinden,V,IV,12/10/1975,10/23/2001
534,Nathaniel,Boerderman,B,III,12/31/1960,6/25/2000
535,Aeriell,Slavin,E,III,9/14/1960,7/24/2000
536,Hurleigh,Kinge,O,III,11/7/1971,10/26/2002
537,Joyan,Crickmer,D,Sr,2/11/1976,1/23/2001
538,Tammi,Jahndel,X,Jr,5/22/1977,4/28/2003
539,Linnell,Valett,U,II,5/15/1968,11/8/2001
540,Frank,Rushbrook,Z,Jr,11/28/1975,5/23/2004
541,Herschel,Ferens,O,III,4/12/1974,9/23/2000
542,Derrick,Mawne,J,III,7/18/1960,11/1/2004
543,Clayborne,Jilliss,A,IV,5/12/1963,6/5/2003
544,Colly,Carbin,B,III,8/23/1962,9/11/2001
545,Innis,Janz,N,IV,4/23/1967,10/29/2003
546,Hilary,Pulley,E,Sr,5/7/1978,4/12/2001
547,Batsheva,Fifield,N,II,6/4/1960,11/24/2001
548,Kristi,Boxhall,Y,II,2/6/1969,8/25/2002
549,Gregoire,Barkway,W,III,1/3/1970,11/10/2001
550,Amy,McCoy,F,Jr,7/9/1960,6/27/2003
551,Fay,Kaszper,R,II,4/26/1969,2/10/2003
552,Genny,Loughrey,C,Jr,1/17/1977,11/23/2003
553,Timmy,Weyland,H,III,4/16/1978,12/8/2002
554,Robinette,Dougherty,B,IV,2/19/1976,5/3/2001
555,Mahala,Gawen,X,III,6/7/1976,2/3/2000
556,Shanna,Harriott,E,II,9/2/1973,9/14/2004
557,Germaine,Teaz,F,III,8/9/1966,9/29/2002
558,Kennie,Southan,C,Sr,3/21/1970,10/14/2003
559,Dasha,Dy,R,II,9/12/1977,8/21/2000
560,Reiko,Cape,I,Sr,9/14/1976,11/28/2001
561,Mara,O'Flaherty,D,II,2/23/1968,6/29/2000
562,Martin,Peyntue,T,III,4/28/1973,11/28/2001
563,Charmian,Simounet,E,IV,1/21/1973,9/6/2000
564,Martha,Jovanovic,I,IV,6/23/1976,6/29/2003
565,Syd,Mattin,O,Sr,7/6/1972,2/26/2000
566,Oberon,Reinert,M,Jr,12/11/1978,6/4/2000
567,Raimund,O'Crotty,V,II,8/3/1965,3/15/2004
568,Corine,Hampshire,K,Sr,10/29/1975,9/16/2003
569,Kelsey,Harvatt,P,IV,4/9/1962,5/22/2002
570,Brian,Bolus,V,Jr,5/20/1970,2/12/2000
571,Sherry,Gavey,U,II,4/3/1972,6/4/2000
572,Melisande,Fortye,V,Jr,6/11/1961,10/26/2001
573,Ailbert,Poppleston,X,IV,7/2/1967,9/18/2000
574,Harlene,Skinner,W,III,2/20/1974,7/23/2004
575,Grete,Morbey,D,III,10/2/1975,7/22/2004
576,Obidiah,Ashness,D,IV,5/21/1972,12/25/2002
577,Weylin,Franzini,I,III,2/8/1977,12/20/2002
578,Rolando,Whiten,X,Sr,1/27/1961,1/19/2003
579,Larissa,Gildea,X,Jr,1/28/1977,6/30/2004
580,Dante,Forsdyke,O,III,7/13/1965,1/1/2002
581,Kylie,Carletto,M,III,4/19/1960,5/5/2000
582,Niven,Decayette,Q,Sr,8/23/1972,12/16/2003
583,Whitney,Peatt,A,II,6/18/1969,8/3/2002
584,Meg,Skyner,Q,IV,12/3/1962,11/6/2003
585,Eli,Bernardy,M,Jr,3/26/1969,5/28/2001
586,Elyn,Scemp,B,Sr,5/22/1972,5/25/2003
587,Christian,Cawcutt,G,III,7/1/1971,1/30/2004
588,Yorke,Brinkworth,W,II,7/13/1969,1/7/2000
589,Arielle,Rippen,X,Sr,3/12/1968,1/18/2001
590,Wendy,Maling,S,Sr,8/29/1976,12/5/2002
591,Kylila,Jeffray,W,Sr,1/3/1960,12/15/2000
592,Axel,MacDwyer,R,III,1/27/1977,12/30/2000
593,Tadeo,Dymond,P,IV,5/26/1969,8/14/2000
594,Thaddeus,Finnick,N,Jr,2/18/1961,6/12/2000
595,Dilly,Gelletly,O,Sr,5/9/1976,9/29/2001
596,Troy,Mallall,F,IV,5/28/1965,8/5/2000
597,Dita,Lavrick,Z,Jr,10/21/1976,5/19/2001
598,Ardelia,Rosborough,J,Sr,2/26/1974,10/31/2001
599,Sid,Letherbury,V,II,4/16/1961,2/3/2004
600,Elissa,Readett,D,IV,4/24/1973,3/11/2000
601,Brenna,Kenwell,K,II,5/14/1972,5/13/2001
602,Deva,MacAindreis,J,IV,2/10/1979,9/22/2000
603,Perri,Batchelder,V,III,5/28/1961,7/10/2000
604,Perren,Jewise,W,Sr,7/19/1975,6/10/2002
605,Christiane,Toke,X,III,5/10/1973,7/8/2000
606,Adrea,Frankiss,O,Sr,5/23/1971,7/30/2003
607,Jasun,Sprigging,R,III,6/15/1973,3/6/2003
608,Ashlan,Hirtzmann,I,Sr,10/5/1976,12/19/2000
609,Hilton,Kears,V,II,4/25/1979,10/30/2004
610,Russell,Navein,L,Sr,5/16/1974,9/25/2004
611,Sidoney,Wallsworth,Q,IV,8/9/1965,11/25/2004
612,Mort,Keitch,C,Jr,2/15/1966,10/31/2002
613,Charmaine,O'Hanlon,F,Jr,7/28/1968,1/11/2000
614,Ronny,Mundy,D,IV,6/24/1968,12/21/2003
615,Victoria,Squire,A,II,9/11/1973,9/25/2003
616,Roz,Grimolbie,L,Sr,1/1/1964,7/15/2003
617,Christoforo,Riche,P,Jr,1/14/1965,12/26/2001
618,Julietta,Drinkwater,D,III,10/24/1978,11/11/2000
619,Forrester,Wherrit,T,IV,11/3/1970,8/7/2000
620,Felix,Kaspar,M,II,1/22/1962,8/28/2004
621,Rennie,Simnel,W,Jr,4/1/1977,12/8/2004
622,Allister,Speechley,V,Jr,8/20/1974,5/23/2001
623,Raquel,Critchard,I,III,10/1/1972,5/20/2002
624,Madelyn,Carrel,K,III,6/28/1964,9/7/2002
625,Haily,Sircombe,N,IV,8/10/1966,2/1/2001
626,Marcelo,Sherborne,B,III,4/14/1963,4/22/2001
627,Dyanne,Haugen,I,III,2/17/1970,10/4/2004
628,Clemence,Collinwood,V,Sr,8/19/1976,6/7/2001
629,Johnathon,Corness,E,Sr,1/21/1970,1/12/2001
630,Stafani,Wollard,R,IV,7/12/1965,8/6/2004
631,Janifer,Feldbau,X,Sr,9/5/1961,11/21/2001
632,Mead,Jarman,S,IV,5/5/1967,7/2/2004
633,Pamella,Loveitt,O,Jr,7/10/1975,6/15/2003
634,Georgeta,Wyld,D,III,2/20/1964,4/23/2001
635,Mohandas,Dewer,F,II,5/16/1969,8/31/2004
636,Eberhard,Ughini,C,Sr,3/15/1961,5/18/2000
637,Aida,Paton,U,II,8/16/1977,3/25/2004
638,Aylmar,Gordon-Giles,J,IV,5/21/1967,4/17/2004
639,Otho,Gouldthorp,B,Sr,11/16/1969,3/25/2003
640,Nevin,Foulds,H,Jr,8/10/1969,3/21/2002
641,Kalinda,Tottem,M,Jr,1/31/1978,9/15/2001
642,Fraser,Rieger,Y,III,12/20/1963,3/29/2002
643,Pandora,Bartoszewski,E,Sr,9/20/1966,5/31/2003
644,Bing,Tooze,P,Sr,2/15/1978,1/21/2004
645,Grant,Uvedale,L,III,4/14/1973,2/20/2004
646,Daffie,Pittman,T,IV,8/28/1961,7/19/2004
647,Keane,Novik,T,Sr,1/7/1962,4/16/2003
648,Dwayne,Legonidec,W,Sr,12/12/1975,1/5/2002
649,Ardis,Chapiro,Q,IV,12/15/1966,4/2/2001
650,Demeter,Kohnen,T,IV,8/17/1973,2/16/2002
651,Norman,Warkup,S,Sr,7/29/1961,12/2/2004
652,Andrus,Rentilll,E,Jr,8/4/1968,8/22/2000
653,Brig,Kitney,Y,Sr,12/2/1961,5/8/2002
654,Franzen,Benian,J,Sr,12/13/1966,7/4/2004
655,Cordy,Norree,L,Jr,10/10/1971,6/25/2003
656,Alia,Iacoboni,U,Sr,3/27/1963,11/24/2002
657,Joyan,Widdowfield,T,Sr,4/25/1961,8/25/2004
658,Alexei,Krinks,Z,IV,5/24/1961,4/21/2001
659,Gertruda,Spaldin,D,III,11/7/1977,6/12/2003
660,Lowell,Simmill,R,II,5/27/1968,2/14/2001
661,Yancy,Hansen,C,Sr,2/28/1975,1/5/2004
662,Emilee,Klimt,I,Jr,2/24/1969,6/1/2004
663,Sawyer,Grinval,R,III,3/23/1970,10/13/2003
664,Raf,Danielsen,A,III,3/3/1973,7/7/2003
665,Emlyn,Highnam,A,III,1/16/1974,1/27/2004
666,Ramona,Boss,F,IV,5/31/1966,12/30/2004
667,Lock,Ahearne,M,III,7/18/1979,5/4/2000
668,Yoshiko,Northidge,T,IV,7/21/1962,9/29/2002
669,Werner,Fothergill,I,III,11/3/1974,12/16/2002
670,Farrand,Hentze,G,IV,9/22/1978,2/1/2002
671,Trev,Hanse,O,Sr,4/8/1963,10/12/2002
672,Nicolea,Pregal,G,Jr,9/20/1978,1/31/2003
673,Ollie,Llopis,W,Jr,3/9/1968,10/26/2004
674,Janith,Scurman,H,II,2/4/1962,6/15/2003
675,Bone,Matterdace,F,III,5/4/1978,8/22/2000
676,Daryl,Manhare,E,Jr,2/15/1976,6/29/2001
677,Shurwood,Lockey,L,III,12/8/1961,7/14/2004
678,Darryl,Draijer,Z,IV,5/19/1963,2/25/2004
679,Vonnie,Deviney,G,IV,5/20/1970,6/3/2001
680,Gae,Slinn,S,III,8/3/1972,7/6/2000
681,Avigdor,Rilings,W,II,8/4/1970,8/1/2003
682,Loella,Lawther,H,II,1/6/1974,9/4/2001
683,Sukey,Amyes,C,II,11/20/1972,11/24/2001
684,Nerty,Carnow,O,Jr,1/24/1966,4/10/2003
685,Addia,Hollows,Y,IV,10/18/1976,8/13/2001
686,Chip,Kohrt,J,Sr,3/27/1964,4/9/2004
687,Jacqueline,Hyland,J,Sr,8/28/1966,7/6/2003
688,Erna,Danneil,R,Jr,3/10/1972,1/19/2004
689,Man,Severns,R,II,7/15/1975,4/27/2000
690,Sammy,Gilardone,Z,II,8/23/1964,8/23/2001
691,Laurice,Nelligan,A,III,5/10/1966,4/2/2002
692,Chaddie,McFaell,P,II,1/1/1970,2/1/2001
693,Mamie,Bruhnke,Z,Jr,11/18/1976,5/6/2004
694,Jandy,Dorward,D,IV,6/10/1971,11/9/2004
695,Alleen,Sokell,W,II,6/29/1979,4/26/2001
696,Manuel,Samber,N,II,8/10/1969,7/18/2001
697,Siobhan,Bentinck,M,Sr,9/16/1967,9/16/2000
698,Roshelle,Westphalen,E,Sr,5/25/1961,2/28/2002
699,Caryl,Deares,B,Jr,6/8/1976,1/17/2004
700,Fredelia,Avison,F,Sr,1/31/1964,5/22/2004
701,Sergent,Mathen,W,Sr,7/10/1960,2/1/2003
702,Davie,MacGilmartin,M,IV,11/18/1972,7/24/2000
703,Maire,Clemmen,S,Sr,2/8/1979,4/28/2002
704,Ash,Clothier,Q,IV,12/4/1964,8/24/2004
705,Stinky,Sowter,I,II,5/9/1972,1/28/2000
706,Adolpho,Rockell,P,Sr,12/21/1963,11/30/2003
707,Irvine,Cromie,Z,III,4/2/1968,8/1/2004
708,Colette,Egalton,C,Sr,12/9/1960,8/4/2002
709,Harlie,Donohoe,N,Sr,7/26/1965,12/13/2003
710,Carney,Barter,C,III,4/26/1960,5/31/2001
711,Shell,Wildsmith,E,II,5/6/1968,9/9/2000
712,Rinaldo,Guttridge,B,III,5/31/1963,8/5/2002
713,Dunstan,Hughson,G,III,2/14/1979,3/14/2000
714,Consuelo,Tukely,R,III,8/12/1961,10/14/2003
715,Lelia,Degoe,W,Sr,10/19/1969,10/29/2004
716,Elfrieda,Eeles,K,III,2/22/1978,7/30/2000
717,Lynea,Penning,V,Jr,4/26/1977,8/27/2003
718,Edmund,Benzie,B,III,9/16/1964,4/21/2003
719,Aldrich,Flay,M,III,3/28/1965,1/8/2003
720,Janifer,Elfleet,B,III,3/14/1968,7/18/2002
721,Rosalyn,Whebell,E,Sr,8/15/1974,4/8/2003
722,Esmeralda,Steptow,C,IV,11/23/1975,7/26/2003
723,Rafe,Erdis,R,IV,6/28/1960,5/13/2001
724,Sharity,Buncombe,G,Jr,1/27/1973,2/22/2004
725,Zahara,Schruur,Y,III,12/21/1961,4/15/2000
726,Torin,Rudham,Z,III,11/15/1972,11/18/2004
727,Lane,Okroy,Y,II,4/19/1966,7/30/2003
728,Bancroft,Hercules,O,II,3/31/1961,11/24/2004
729,Athena,Beagles,G,II,11/27/1970,10/24/2002
730,Emmett,Hayball,E,Sr,4/24/1974,1/15/2001
731,Siobhan,Tregust,U,Sr,6/10/1967,4/2/2003
732,Lillis,Tilbrook,C,II,6/5/1979,7/23/2003
733,Gustavus,Dingwall,N,IV,5/25/1971,3/20/2001
734,Vevay,Colleford,H,Sr,12/3/1961,3/29/2003
735,Etheline,Brozek,R,II,5/5/1972,12/12/2003
736,Sibbie,Dumbleton,U,III,12/18/1961,2/15/2002
737,Yasmeen,Trigg,N,Jr,4/19/1976,12/24/2002
738,Tuckie,Goschalk,O,II,8/6/1969,12/20/2001
739,Roz,Markson,B,Sr,9/10/1974,1/20/2001
740,Delia,Petrelluzzi,W,III,11/15/1970,8/9/2000
741,Perren,Pinchen,G,III,9/25/1979,1/28/2001
742,Shannon,Tulloch,A,IV,12/17/1963,10/28/2004
743,Kathlin,Gilffilland,H,Jr,11/20/1967,10/1/2000
744,Bess,Kesper,F,Sr,8/13/1964,9/11/2000
745,Hesther,Petrichat,H,Jr,5/3/1977,8/16/2001
746,Ninnette,Chattell,A,IV,9/12/1979,7/31/2003
747,Emile,Adelberg,V,Jr,11/4/1974,3/3/2004
748,Garrott,Clubley,O,II,4/18/1967,8/20/2003
749,Gianna,Buckland,V,III,9/8/1966,7/11/2001
750,Harriott,Zimek,T,Jr,3/30/1975,7/23/2003
751,Wynny,Attenbarrow,P,Jr,4/21/1976,2/23/2000
752,Hercule,Dossettor,Z,III,12/17/1960,4/29/2000
753,Winni,Eannetta,A,III,1/27/1973,8/13/2002
754,Joelie,Fancet,T,Jr,8/5/1962,1/23/2002
755,Kenna,Fryatt,Y,Jr,2/27/1961,12/28/2000
756,Eartha,Geram,I,Jr,12/28/1974,1/19/2002
757,Cynthie,Fake,D,Jr,11/25/1962,12/25/2002
758,Nadia,Tatchell,E,IV,10/16/1974,10/1/2004
759,Rheba,Shearstone,K,Sr,4/1/1961,7/11/2003
760,Vivianne,Okker,B,III,11/12/1970,1/13/2002
761,Danella,Btham,I,IV,5/5/1973,11/15/2000
762,Cynthy,Pilsworth,S,IV,12/27/1964,12/20/2000
763,Rudd,Saladin,G,Sr,9/17/1974,7/1/2002
764,Nadiya,Tanby,J,II,1/11/1971,8/19/2002
765,Thomasin,Caldicot,X,IV,4/2/1969,7/17/2001
766,Ambros,Colwill,N,Sr,1/7/1976,4/21/2000
767,Cairistiona,Toffalo,M,II,2/25/1969,8/16/2002
768,Yorke,Moulton,O,II,1/29/1967,12/8/2002
769,Claudell,Filipovic,O,Sr,6/26/1963,8/4/2002
770,Fan,Durward,O,Jr,5/3/1969,2/24/2004
771,Jeremie,McGunley,W,IV,4/5/1966,4/19/2004
772,Cherrita,Varney,I,III,7/11/1962,11/14/2002
773,Ragnar,Winsiowiecki,R,Jr,10/11/1960,6/21/2001
774,Jillana,Chessil,V,Jr,6/25/1960,1/4/2004
775,Kipper,Moncreiff,Y,Jr,9/9/1972,3/19/2001
776,Hana,Davidow,M,IV,8/4/1968,5/21/2003
777,Henri,Silkstone,W,Jr,5/17/1976,10/20/2003
778,Joelie,Ginglell,U,III,12/2/1976,9/10/2001
779,Fara,Clementel,I,III,11/13/1964,8/11/2002
780,Barbey,Jacke,L,II,8/26/1963,2/21/2000
781,Alameda,Nutten,I,II,12/18/1963,2/8/2004
782,Dee dee,Rudgley,E,Jr,8/17/1976,10/28/2002
783,Devonne,Nabbs,H,Jr,6/28/1970,1/17/2004
784,Clevie,Fynes,S,IV,11/22/1965,1/30/2004
785,Jephthah,Giraudo,U,Jr,12/19/1963,12/31/2001
786,Cirstoforo,Matias,V,II,7/22/1964,4/7/2001
787,Blane,Bartosik,V,Jr,6/3/1967,7/2/2004
788,Obadiah,McEniry,U,IV,6/14/1960,6/25/2002
789,Polly,Soanes,C,II,4/16/1971,3/23/2004
790,Reinold,Oakwell,J,II,3/9/1960,3/9/2002
791,Konstanze,Balducci,Y,IV,7/7/1965,11/25/2001
792,Timmie,Louis,N,Sr,6/25/1968,4/8/2002
793,Rowe,Dillintone,T,Sr,4/12/1967,8/10/2004
794,Alejoa,Soltan,I,Sr,11/21/1970,7/7/2003
795,Kelcie,Romaine,N,III,2/7/1975,8/18/2004
796,Neils,Egdell,J,Jr,2/1/1960,3/3/2003
797,Binny,Verrills,Z,Sr,7/20/1964,2/29/2000
798,Isidoro,Veld,M,Jr,6/9/1970,2/16/2004
799,Dare,Buckell,V,III,5/11/1977,3/31/2004
800,Keriann,Braley,M,II,4/16/1960,2/6/2004
801,Hinze,Colton,E,Jr,9/7/1970,9/26/2001
802,Rosamond,Robinett,G,IV,3/30/1960,12/3/2004
803,Martainn,Romanini,O,III,9/27/1977,9/25/2002
804,Gerry,Freezor,W,II,2/5/1979,12/7/2002
805,Teresa,Aird,M,II,8/28/1960,2/19/2004
806,Rozele,Arboin,H,II,5/7/1965,2/8/2003
807,Agneta,Zaczek,W,Jr,7/25/1966,1/14/2001
808,Joyce,Crab,L,Sr,4/15/1978,3/22/2003
809,Mikey,Knath,J,II,1/8/1978,6/11/2000
810,Marigold,Autrie,T,III,6/22/1976,11/11/2001
811,Humphrey,McKinless,G,III,3/1/1979,4/10/2000
812,Talya,Folomin,A,II,6/12/1971,7/15/2003
813,Cos,Roz,M,III,10/18/1977,2/22/2004
814,Alfi,Ioselevich,X,Sr,2/19/1967,1/3/2001
815,Hermon,Santus,V,II,2/2/1961,6/5/2000
816,Mathian,Carruth,O,IV,12/4/1969,8/7/2003
817,Rosa,Beetham,K,Jr,7/5/1976,4/22/2000
818,Hi,Brabban,U,II,9/3/1973,6/6/2002
819,Adah,Stoeck,S,Sr,8/25/1978,11/23/2001
820,Eugenia,Alstead,F,III,12/2/1969,7/2/2002
821,Jacinta,Netherwood,P,Jr,3/21/1967,7/4/2002
822,Raeann,Mullinder,W,II,9/15/1971,2/16/2000
823,Emmanuel,Petranek,Z,Sr,4/30/1966,11/21/2001
824,Grenville,Wreiford,I,Jr,7/4/1968,11/9/2002
825,Alasteir,Donnersberg,C,III,3/11/1964,7/2/2003
826,Mira,Tellenbrook,Q,II,4/29/1964,8/17/2004
827,Edwin,Churm,U,Sr,10/23/1976,1/1/2003
828,Gradey,Struijs,A,IV,1/11/1964,2/18/2004
829,Blane,Arndell,G,Jr,5/15/1967,2/11/2003
830,Wat,Spafford,M,III,8/24/1973,2/5/2001
831,Roxane,Beeden,T,Sr,7/7/1960,11/22/2000
832,Winonah,Silber,T,IV,10/9/1962,8/4/2000
833,Standford,Fattore,J,Sr,11/26/1975,4/11/2004
834,Karna,Mattessen,M,IV,9/5/1974,3/8/2001
835,Stesha,Feaks,T,IV,11/12/1962,7/19/2002
836,Giorgi,Gallard,O,Jr,3/3/1965,5/25/2000
837,Chrissy,Gadman,Y,III,2/26/1971,1/26/2002
838,Bertrand,Ruppelin,B,IV,12/6/1972,7/26/2003
839,Jacquenette,Arnaut,O,III,2/11/1979,6/16/2001
840,Bradan,Shemelt,N,II,3/18/1975,2/10/2001
841,Lyndsie,Terron,F,II,5/1/1971,12/20/2002
842,Angelique,Buckston,V,Jr,11/21/1961,5/21/2001
843,Isabella,Elecum,U,IV,4/17/1970,9/17/2000
844,Helena,Pattillo,Q,Sr,5/7/1965,11/9/2004
845,Robb,Ludwikiewicz,E,II,4/7/1970,5/31/2000
846,Merrilee,Pedrozzi,X,Jr,4/14/1979,5/30/2001
847,Valenka,Lounds,T,Jr,12/16/1975,11/5/2000
848,Petunia,Bridywater,R,Jr,3/17/1968,2/18/2001
849,Ethelind,Farrow,J,Sr,11/5/1978,2/21/2004
850,Verge,Gadaud,F,Jr,10/13/1975,1/27/2004
851,Oralle,Cozzi,T,Jr,6/19/1977,6/10/2003
852,Florencia,Lafford,P,IV,1/4/1970,4/2/2003
853,Jarad,Cavilla,K,III,4/30/1978,8/27/2000
854,Sheffield,Phizaclea,N,Jr,12/13/1979,2/26/2004
855,Denise,Mines,P,Jr,12/26/1967,9/20/2000
856,Ophelia,Danick,C,IV,3/31/1967,9/11/2002
857,Bondon,Humphery,K,IV,11/13/1966,7/27/2002
858,Mahalia,Claesens,N,Jr,6/25/1975,7/7/2000
859,Almire,Clace,K,IV,8/17/1979,8/3/2001
860,Shelby,Tidbold,C,II,6/19/1972,7/30/2003
861,Bertrando,Goligly,I,III,8/14/1979,5/18/2004
862,Atlanta,Dmisek,G,Jr,8/11/1978,12/21/2002
863,Gabriel,Berni,C,Sr,4/26/1971,3/19/2001
864,Alec,Ferby,S,IV,2/7/1967,5/6/2000
865,Harlen,Forker,Q,Jr,9/12/1965,11/28/2001
866,Katti,Nesterov,F,IV,8/27/1961,7/8/2004
867,Alisha,Wiltshaw,B,IV,6/13/1969,2/11/2002
868,Wendi,Trodd,G,III,9/29/1967,11/19/2003
869,Dael,Cordrey,N,III,7/30/1972,10/20/2003
870,Celeste,Stitt,I,II,11/1/1963,10/2/2000
871,Kellby,Morat,M,Jr,7/21/1960,8/28/2002
872,Clem,Sterricker,U,Jr,11/11/1967,1/11/2003
873,Ermina,McCosh,E,III,4/25/1979,8/13/2001
874,Tamma,McIlherran,N,IV,1/3/1964,2/11/2002
875,Clare,Langland,A,III,2/23/1962,10/23/2004
876,Sondra,Loynes,M,Jr,1/31/1969,1/13/2004
877,Conn,Kubiak,G,Sr,5/31/1969,4/8/2004
878,Jandy,MacGovern,O,III,9/28/1966,1/20/2004
879,Jaclin,Schultze,Z,IV,9/21/1961,11/21/2001
880,Fran,Gauvain,N,III,4/18/1965,7/1/2004
881,Ezri,Matyugin,O,Jr,9/26/1977,1/2/2000
882,Krista,Batrick,B,III,1/10/1979,5/1/2003
883,Darya,Deddum,O,IV,12/14/1967,11/11/2003
884,El,Bellew,C,IV,2/7/1978,4/29/2003
